Ticker,Company,MS,MBI,MB,CNN,BS
AMRB,American River Bankshares,False,True,True,True,True
AMRC,Ameresco Inc,True,True,True,True,True
AMRI,Albany Molecular Research Inc,False,True,True,False,True
AMRK,A-Mark Precious Metals Inc,False,True,True,True,True
AMRN,Amarin Corp PLC,False,True,True,True,True
AMRS,Amyris Inc,False,True,True,True,True
AMS,American Shared Hospital Services,False,True,,True,True
AMSC,American Superconductor Corp,False,True,True,True,True
AMSF,AMERISAFE Inc,False,True,True,True,True
AMSWA,American Software Inc,False,True,True,True,True
AMT,American Tower Corp,True,True,True,True,True
AMTD,TD Ameritrade Holding Corp,False,True,True,True,True
AMTG,Apollo Residential Mortgage Inc,False,False,True,True,True
AMTX,Aemetis Inc,False,True,True,True,True
AMWD,American Woodmark Corp,False,True,True,True,True
AMX,America Movil SAB de CV,True,True,True,True,True
AMZN,Amazon.com Inc,False,True,True,True,True
AN,AutoNation Inc,True,True,True,True,True
ANAC,Anacor Pharmaceuticals Inc,False,False,True,False,True
ANAD,Anadigics Inc,False,False,True,False,True
ANAT,American National Insurance Co,False,True,True,True,True
ANCB,Anchor Bancorp,False,True,True,False,True
ANDE,Andersons Inc,False,True,True,True,True
ANDV,Andeavor,False,False,True,False,True
ANET,Arista Networks Inc,True,True,True,True,True
ANF,Abercrombie & Fitch Co,True,True,True,True,True
ANGI,ANGI Homeservices Inc,False,True,True,True,True
ANGO,AngioDynamics Inc,False,True,True,True,True
ANH,Anworth Mortgage Asset Corp,True,True,True,True,True
ANIK,Anika Therapeutics Inc,False,True,True,True,True
ANIP,ANI Pharmaceuticals Inc,False,True,True,True,True
ANSS,Ansys Inc,False,True,True,True,True
ANTE,AirNet Technology Inc,False,True,True,True,True
ANTH,Anthera Pharmaceuticals Inc,False,True,True,True,True
ANTM,Anthem Inc,True,True,True,True,True
ANY,Sphere 3D Corp,False,False,True,True,True
AON,Aon PLC,True,False,True,True,True
AOS,A.O. Smith Corp,True,True,True,True,True
AOSL,Alpha & Omega Semiconductor Ltd,False,True,True,True,True
AP,Ampco-Pittsburgh Corp,True,True,True,True,True
APA,Apache Corp,True,True,True,True,True
APAM,Artisan Partners Asset Management Inc,True,True,True,True,True
APC,Anadarko Petroleum Corp,False,True,True,False,True
APD,Air Products & Chemicals Inc,True,True,True,True,True
APDN,Applied DNA Sciences Inc,False,False,True,True,True
APEI,American Public Education Inc,False,True,True,True,True
APEN,Apollo Endosurgery Inc,False,True,True,True,True
APFH,AdvancePierre Foods Holdings Inc,False,True,True,False,True
APH,Amphenol Corp,True,True,True,True,True
APHA,Aphria Inc,True,True,True,True,True
APLE,Apple Hospitality REIT Inc,True,True,True,True,True
APLP,Archrock Partners LP,False,False,True,True,True
APO,Apollo Global Management Inc,True,False,True,True,True
APOG,Apogee Enterprises Inc,False,True,True,True,True
APOL,Apollo Education Group Inc,False,False,True,False,True
APOP,Cellect Biotechnology Ltd,False,False,True,True,True
APPF,AppFolio Inc,False,True,True,True,True
APPS,Digital Turbine Inc,False,True,True,True,True
APRN,Blue Apron Holdings Inc,True,True,True,True,True
APT,Alpha Pro Tech Ltd,False,True,True,True,True
APTO,Aptose Biosciences Inc,False,True,True,True,True
APTS,Preferred Apartment Communities Inc,True,True,True,True,True
APTV,Aptiv PLC,True,True,True,True,True
APU,AmeriGas Partners LP,False,True,True,False,True
APVO,Aptevo Therapeutics Inc,False,False,True,True,True
APWC,Asia Pacific Wire & Cable Corp Ltd,False,True,True,True,True
AQ,Aquantia Corp,False,True,True,False,True
AQMS,Aqua Metals Inc,False,True,True,True,True
AQN,Algonquin Power & Utilities Corp,True,True,True,True,True
AQUA,Evoqua Water Technologies Corp,True,True,True,True,True
AR,Antero Resources Corp,True,True,True,True,True
ARA,American Renal Associates Holdings Inc,True,True,True,True,True
ARAY,Accuray Inc,False,True,True,True,True
ARC,ARC Document Solutions Inc,True,True,True,True,True
ARCB,ArcBest Corp,False,True,True,True,True
ARCC,Ares Capital Corp,False,True,True,True,True
ARCE,Arco Platform Ltd,False,True,True,True,True
ARCH,Arch Coal Inc,True,True,True,True,True
ARCO,Arcos Dorados Holdings Inc,True,True,True,True,True
ARCW,ARC Group Worldwide Inc,False,True,True,True,True
ARDX,Ardelyx Inc,False,True,True,True,True
ARE,Alexandria Real Estate Equities Inc,True,True,True,True,True
ARES,Ares Management Corp,True,True,True,True,True
ARGO,Argo Group International Holdings Ltd,True,True,True,True,True
ARGX,argenx SE,False,True,True,True,True
ARI,Apollo Commercial Real Estate Finance Inc,True,True,True,True,True
ARIA,ARIAD Pharmaceuticals Inc,False,True,True,False,True
ARII,American Railcar Industries Inc,False,True,True,True,True
ARIS,ARI Network Services Inc,False,True,True,False,True
ARKR,Ark Restaurants Corp,False,True,True,True,True
ARL,American Realty Investors Inc,True,True,True,True,True
ARLP,Alliance Resource Partners LP,False,True,True,True,True
ARMK,Aramark,True,True,True,True,True
ARNA,Arena Pharmaceuticals Inc,False,True,True,True,True
ARNC,Arconic Corp,True,False,True,True,True
AROC,Archrock Inc,True,True,True,True,True
AROW,Arrow Financial Corp,False,True,True,True,True
ARPI,American Residential Properties Inc,False,False,True,False,True
ARQL,Arqule Inc,False,True,True,False,True
ARR,ARMOUR Residential REIT Inc,True,True,True,True,True
ARRS,ARRIS International PLC,False,True,True,False,True
ARRY,Array BioPharma Inc,False,True,True,False,True
ARTNA,Artesian Resources Corp,False,True,True,True,True
ARTW,Art's-Way Manufacturing Co Inc,False,True,True,True,True
ARTX,,False,True,True,False,True
ARW,Arrow Electronics Inc,True,True,True,True,True
ARWR,Arrowhead Pharmaceuticals Inc,False,True,True,True,True
ASB,Associated Banc-Corp,True,True,True,True,True
ASBB,ASB Bancorp Inc,False,True,True,False,True
ASBI,Ameriana Bancorp,False,False,True,True,True
ASC,Ardmore Shipping Corp,True,True,True,True,True
ASCMA,Ascent Capital Group Inc,False,True,True,False,True
ASFI,Asta Funding Inc,False,True,True,True,True
ASGN,ASGN Inc,True,True,True,True,True
ASH,Ashland Global Holdings Inc,True,True,True,True,True
ASIX,AdvanSix Inc,True,True,True,True,True
ASLN,ASLAN Pharmaceuticals Ltd,False,True,True,True,True
ASM,Avino Silver & Gold Mines Ltd,False,True,True,True,True
ASMB,Assembly Biosciences Inc,False,True,True,True,True
ASML,ASML Holding NV,False,True,True,True,True
ASNA,Ascena Retail Group Inc,False,False,True,True,True
ASND,Ascendis Pharma A/S,False,True,True,True,True
