,Ticker,Company,MS,MBI,MB,CNN,BS
237,ACOR,Acorda Therapeutics Inc,False,True,True,True,True
238,ACOSF,Archos,False,False,False,True,False
239,ACPGF,Atacama Pacific Gold Corp,False,False,False,True,False
240,ACPIF,AC Energy Philippines Inc,False,False,False,True,False
241,ACPS,AC Partners Inc,False,False,False,True,False
242,ACRB,Asia Carbon Industries Inc,False,False,False,True,False
243,ACRE,Ares Commercial Real Estate Corp,True,True,True,True,True
244,ACRFF,Accor SA,False,False,True,True,False
245,ACRGF,Acreage Holdings Inc,False,False,True,True,False
246,ACRL,Atacama Resources International Inc,False,False,True,True,False
247,ACRS,Aclaris Therapeutics Inc,False,True,True,True,True
248,ACRVF,Agellan Commercial Real Estate Investment Trust,False,False,False,False,False
249,ACRX,AcelRx Pharmaceuticals Inc,False,True,True,True,True
250,ACSAF,ACS Actividades de Construccion y Servicios SA,False,False,False,True,False
251,ACSAY,ACS Actividades de Construccion y Servicios SA,False,False,True,True,False
252,ACSBL,Access Bank PLC,False,False,False,False,False
253,ACSEF,ACS Motion Control Ltd,False,False,True,True,False
254,ACSF,American Capital Senior Floating Ltd,False,True,True,False,False
255,ACSSF,Acasta Enterprises Inc,False,False,False,True,False
256,ACST,Acasti Pharma Inc,False,True,True,True,True
257,ACSX,AC Simmonds and Sons Inc,False,False,False,False,False
258,ACSYF,Accsys Technologies PLC,False,False,False,True,False
259,ACT,Allergan PLC,False,False,True,True,False
260,ACTFF,Asian Citrus Holdings Ltd,False,False,False,False,False
261,ACTG,Acacia Research Corp,False,True,True,True,True
262,ACTPF,Ascent Resources PLC,False,False,False,True,False
263,ACTS,Actions Semiconductor Co Ltd,False,False,True,False,False
264,ACTT,Act II Global Acquisition Corp,False,True,True,True,False
265,ACTTU,,False,True,True,True,False
266,ACTZF,Accton Technology Corp,False,False,False,False,False
267,ACU,Acme United Corp,False,True,True,True,True
268,ACUIF,AcuityAds Holdings Inc,False,False,False,True,False
269,ACUR,Acura Pharmaceuticals Inc,False,True,True,True,True
270,ACUS,Acusphere Inc,False,False,False,True,False
271,ACV,,False,False,True,True,False
272,ACW,Accuride Corp,False,False,True,True,True
273,ACWRF,Acceleware Ltd,False,False,False,True,False
274,ACXIF,Acciona SA,False,False,True,True,False
275,ACY,AeroCentury Corp,False,True,True,True,True
276,ADAP,Adaptimmune Therapeutics PLC,False,True,True,True,True
277,ADARY,ASTM SpA,False,False,False,False,False
278,ADBCF,Adelaide Brighton Ltd,False,False,True,True,False
279,ADBE,Adobe Inc,False,True,True,True,True
280,ADBKF,Addiko Bank AG,False,False,False,True,False
281,ADBRF,Aldebaran Resources Inc,False,False,False,True,False
282,ADC,Agree Realty Corp,True,True,True,True,True
283,ADCC,Savenergy Holdings Inc,False,False,False,False,False
284,ADCOF,Adcore Inc,False,False,False,True,False
285,ADDC,Addmaster Corp,False,False,False,True,False
286,ADDDF,adidas AG,False,False,True,True,False
287,ADDLF,AddLife AB,False,False,False,True,False
288,ADDNF,Addnode Group AB,False,False,False,False,False
289,ADDXF,Addex Therapeutics Ltd,False,False,True,True,False
290,ADDYY,adidas AG,False,False,True,True,True
291,ADEP,Adept Technology Inc,False,False,True,False,True
292,ADERY,Aida Engineering Ltd,False,False,False,True,False
293,ADES,Advanced Emissions Solutions Inc,False,True,True,True,True
294,ADEVF,Adevinta ASA,False,False,False,True,False
295,ADFJF,ADF Group Inc,False,False,True,True,False
296,ADFS,American Defense Systems Inc,False,False,True,True,False
297,ADFT,Adfitech Inc,False,False,False,True,False
298,ADGE,American DG Energy Inc,False,False,True,False,True
299,ADGS,ADGS Advisory Inc,False,False,False,True,False
300,ADHG,Ando Holdings Ltd,False,False,False,True,False
301,ADHLF,Applied Development Holdings Ltd,False,False,False,True,False
302,ADHLY,Applied Development Holdings Ltd,False,False,False,False,False
303,ADHMY,Advanced Digital Health Medicina Preventiva SA,False,False,False,True,False
304,ADI,Analog Devices Inc,False,True,True,True,True
305,ADIL,Adial Pharmaceuticals Inc,False,True,True,True,False
306,ADIMF,Asahi Diamond Industrial Co Ltd,False,False,False,True,False
307,ADKCF,Adeka Corp,False,False,False,True,False
308,ADKT,Adirondack Trust Co,False,False,False,True,False
309,ADLDY,Adelaide Brighton Ltd,False,False,False,True,False
310,ADLS,Advanced Life Sciences Holdings Inc,False,True,False,False,False
311,ADM,Archer-Daniels Midland Co,True,True,True,True,True
312,ADMA,ADMA Biologics Inc,False,True,True,True,True
313,ADMG,Adamant DRI Processing and Minerals Group,False,False,True,True,False
314,ADMLF,Adriatic Metals PLC,False,False,True,True,False
315,ADMP,Adamis Pharmaceuticals Corp,False,True,True,True,True
