Ticker,Origin,Company
GLPI, United States of America,Gaming and Leisure Properties Inc
GEO, United States of America,Geo Group Inc
FSP, United States of America,Franklin Street Properties Corp
FRT, United States of America,Federal Realty Investment Trust
FR, United States of America,First Industrial Realty Trust Inc
FPO, United States of America,First Potomac Realty Trust
FPI, United States of America,Farmland Partners Inc
FCPT, United States of America,Four Corners Property Trust Inc
FCH, United States of America,Felcor Lodging Trust Inc
FCE.A, United States of America,Forest City Realty Trust Inc
EXR, United States of America,Extra Space Storage Inc
ESS, United States of America,Essex Property Trust Inc
ESRT, United States of America,Empire State Realty Trust Inc
EQY,-,Equity One Inc
EQR, United States of America,Equity Residential
EQIX, United States of America,Equinix Inc
EQC, United States of America,Equity Commonwealth
EPR, United States of America,EPR Properties
ELS, United States of America,Equity LifeStyle Properties Inc
EGP, United States of America,Eastgroup Properties Inc
EARN, United States of America,Ellington Residential Mortgage REIT
DX, United States of America,Dynex Capital Inc
DRH, United States of America,DiamondRock Hospitality Co
DRE, United States of America,Duke Realty Corp
DOC, United States of America,Physicians Realty Trust
DLR, United States of America,Digital Realty Trust Inc
DEI, United States of America,Douglas Emmett Inc
DEA, United States of America,Easterly Government Properties Inc
DCT, United States of America,DCT Industrial Trust Inc
CYS, United States of America,CYS Investments Inc
CXW, United States of America,CoreCivic Inc
CXP, United States of America,Columbia Property Trust Inc
CUZ, United States of America,Cousins Properties Inc
CUBE, United States of America,CubeSmart
CTT, United States of America,CatchMark Timber Trust Inc 
CTRE, United States of America,CareTrust REIT Inc
CTO, United States of America,Consolidated-Tomoka Land Co
CPT, United States of America,Camden Property Trust
CPLG, United States of America,CorePoint Lodging Inc
CORR, United States of America,CorEnergy Infrastructure Trust Inc
COR, United States of America,CoreSite Realty Corp
CONE, United States of America,CyrusOne Inc
COLD, United States of America,Americold Realty Trust 
CMO, United States of America,Capstead Mortgage Corp
CMCT, United States of America,CIM Commercial Trust Corp
CLPR, United States of America,Clipper Realty Inc 
CLNC,-,Colony Northstar Credit Real Estate Inc 
CLI, United States of America,Mack-Cali Realty Corp
CLDT, United States of America,Chatham Lodging Trust
CIO, Canada,City Office REIT Inc
CIM, United States of America,Chimera Investment Corp
CHMI, United States of America,Cherry Hill Mortgage Investment Corp
CHCT, United States of America,Community Healthcare Trust Inc
CDR, United States of America,Cedar Realty Trust Inc
CDOR, United States of America,Condor Hospitality Trust Inc
CCI, United States of America,Crown Castle International Corp
CBL, United States of America,CBL & Associates Properties Inc
BXP, United States of America,Boston Properties Inc
BXMT, United States of America,Blackstone Mortgage Trust Inc
BRX, United States of America,Brixmor Property Group Inc
BRT, United States of America,BRT Realty Trust 
BRG, United States of America,Bluerock Residential Growth REIT Inc
